0 0 
8770202.63671875 8770220.91674805 8770204.18362901
8834196.86889648 8834215.27099609 8834198.4157792
8898192.84057617 8898211.36474609 8898194.38742803
8962174.68261719 8962193.359375 8962176.25998266
9026173.30932617 9026192.1081543 9026174.88665572
9090168.82324219 9090187.7746582 9090170.43105927
9154167.23632812 9154186.30981445 9154168.84410969
9218166.93115234 9218186.12670898 9218168.53889595
9282143.00537109 9282162.35351563 9282144.64363932
9346112.51831055 9346132.01904297 9346114.18711592
9410094.23828125 9410113.86108398 9410095.90708295
9474074.15771484 9474093.90258789 9474075.82651631
9538058.44116211 9538078.30810547 9538060.10995502
9602054.99267578 9602075.01220703 9602056.69195424
9666058.19702149 9666078.33862305 9666059.89625529
9730046.26464844 9730066.52832031 9730047.96386646
9794044.40307617 9794064.81933594 9794046.13277672
9858043.06030273 9858063.62915039 9858044.82048482
9922026.58081055 9922047.27172852 9922028.34098553
9986007.08007812 9986027.92358398 9986008.87076929
10049981.9335938 10050002.8991699 10049983.7242943
10113958.8928223 10113979.9804688 10113960.6835283
10177938.9648438 10177960.2050781 10177940.7860668
10241919.5861816 10241940.9484863 10241921.4074031
10305919.3115234 10305940.7958984 10305921.1327069
10369900.9094238 10369922.5463867 10369902.7611213
10433884.2468262 10433906.0058594 10433886.0985169
10497858.7341309 10497880.645752 10497860.6163493
10561842.2851563 10561864.3188477 10561844.1673675
10625821.7468262 10625843.9331055 10625823.6595556
10689802.4902344 10689824.798584 10689804.402962
10753771.6369629 10753794.0979004 10753773.5802283
10817760.8032227 10817783.3862305 10817762.7464702
10881730.0415039 10881752.7770996 10881732.0152891
10945705.2612305 10945728.1188965 10945707.2350244
11009687.8051758 11009710.7849121 11009689.7789645
11073664.0930176 11073687.2253418 11073666.0973305
11137635.7727051 11137659.0270996 11137637.7770335
11201620.3308105 11201643.737793 11201622.3656474
11265610.8093262 11265634.3383789 11265612.8441426
11329588.7145996 11329612.3962402 11329590.7799372
11393558.7463379 11393582.5805664 11393560.8422116
11457510.8642578 11457534.8510742 11457512.9907019
11521474.0600586 11521498.1994629 11521476.2170519
11585441.986084 11585466.2475586 11585444.1430999
11649396.7590332 11649421.2036133 11649398.9771319
11713357.1166992 11713381.7138672 11713359.3653525
11777316.0095215 11777340.7287598 11777318.2582147
11841256.7749023 11841281.6467285 11841259.0541875
11905180.7556152 11905205.8105469 11905183.096042
11969128.8452148 11969154.0527344 11969131.2162196
12033083.0078125 12033108.3679199 12033085.4093837
12097042.4499512 12097067.9626465 12097044.8820787
12160995.6054688 12161021.270752 12160998.0681646
12224939.5751953 12224965.3930664 12224942.0684771
12288881.7749023 12288907.7453613 12288884.2987734
12352822.6318359 12352848.7548828 12352825.1862988
12416768.2495117 12416794.5251465 12416770.8345573
12480717.1630859 12480743.560791 12480719.7481904
12544664.3981934 12544690.9484863 12544667.0138775
12608595.7336426 12608622.467041 12608598.4104542
12672544.8303223 12672571.685791 12672547.5071925
12736495.8190918 12736522.8271484 12736498.5265345
12800450.1647949 12800477.3254395 12800452.9028037
12864403.8391113 12864431.1523438 12864406.6076875
12928345.703125 12928373.1689453 12928348.502291
12992293.8537598 12992321.4416504 12992296.6529862
13056245.6054688 13056273.3764648 13056248.4657837
13120198.7609863 13120226.6845703 13120201.6518697
13184155.6091309 13184183.6547852 13184158.500058
13248102.0812988 13248130.279541 13248105.002807
13312059.2651367 13312087.5854492 13312062.1866881
13376019.53125 13376048.0041504 13376022.4833561
13439986.8469238 13440015.4418945 13439989.7990538
13503945.7092285 13503974.4567871 13503948.6919159
13567863.9831543 13567892.8833008 13567866.9964766
13631777.4658203 13631806.4880371 13631780.4792692
13695687.4084473 13695716.5527344 13695690.4220294
13759596.5270996 13759625.8239746 13759599.5713341
13823501.0070801 13823530.456543 13823504.0819758
13887420.0439453 13887449.6154785 13887423.118957
13951388.8549805 13951418.548584 13951391.9300131
14015351.8981934 14015381.7138672 14015354.9732579
14079304.5654297 14079334.5031738 14079307.640546
14143267.4560547 14143297.5463867 14143270.5617208
14207229.8278809 14207260.0402832 14207232.9335802
14271191.0705566 14271221.4050293 14271194.1762914
14335155.5480957 14335186.0046387 14335158.6538597
14399112.121582 14399142.7001953 14399115.2273903
14463086.4257813 14463117.1875 14463089.5926351
14527064.8193359 14527095.6726074 14527067.9556749
14591028.9001465 14591059.8449707 14591032.0059979
14654984.7106934 14655015.8081055 14654987.8471081
14718951.965332 14718983.1848145 14718955.1017707
14782931.9152832 14782963.2568359 14782935.0517216
14846899.8413086 14846931.3049316 14846902.9777696
14910862.8234863 14910894.4396973 14910865.990497
14974836.9445801 14974868.6828613 14974840.1116015
15038807.6171875 15038839.4775391 15038810.7842264
15102775.0244141 15102807.0068359 15102778.1914766
15166747.8027344 15166779.9072266 15166750.9698103
15230718.3837891 15230750.6103516 15230721.5508825
15294686.2487793 15294718.5974121 15294689.4158955
15358653.3813477 15358685.8520508 15358656.5484881
15422618.8049316 15422651.3977051 15422621.9720995
15486579.4372559 15486612.1520996 15486582.6044603
15550551.5441895 15550584.4116211 15550554.741926
15614525.6652832 15614558.6242676 15614528.8325131
15678498.9013672 15678531.9824219 15678502.0686096
15742491.027832 15742524.2614746 15742494.2255685
15806481.4758301 15806514.831543 15806484.6735462
15870467.7124023 15870501.1901855 15870470.9101062
15934459.0148926 15934492.6147461 15934462.2125744
15998461.9750977 15998495.6970215 15998465.1727353
16062441.8029785 16062475.6774902 16062445.0311336
16126407.5622559 16126441.5588379 16126410.7904378
16190375.3967285 16190409.5153809 16190378.6249333
16254351.776123 16254386.0473633 16254355.0348518
16318329.9255371 16318364.3188477 16318333.184269
16382317.1386719 16382351.6540527 16382320.3973897
16446306.1828613 16446340.8508301 16446309.472079
16510274.1088867 16510308.9294434 16510277.4286445
16574251.1291504 16574286.1022949 16574254.479431
16638218.6584473 16638253.7841797 16638222.0392688
16702189.6362305 16702224.8840332 16702193.0170689
16766161.4685059 16766196.8688965 16766164.879877
16830136.138916 16830171.6918945 16830139.5808144
16894123.3520508 16894159.0270996 16894126.793935
16958109.2529297 16958145.111084 16958112.7558373
17022087.7990723 17022123.8098145 17022091.3324998
17086061.5234375 17086097.6867676 17086065.0873942
17150030.3039551 17150066.5893555 17150033.8679328
17213989.7766113 17214026.2451172 17213993.4016628
17277963.4399414 17278000.0610352 17277967.0955221
17341943.9697266 17341980.7434082 17341947.6558234
17405916.6870117 17405953.6437988 17405920.4341571
17469884.7045898 17469921.8139648 17469888.4822752
17533862.7319336 17533899.9633789 17533866.5096224
17597843.4448242 17597880.8288574 17597847.2530288
17661826.1413574 17661863.6779785 17661829.980074
17725814.2700195 17725851.9592285 17725818.1392377
17789803.8024902 17789841.6442871 17789807.7022073
17853784.7900391 17853822.7844238 17853788.7202714
17917793.6706543 17917831.7871094 17917797.6008312
17981802.734375 17981841.003418 17981806.6950136
18045806.640625 18045845.0622559 18045810.6317351
18109787.9333496 18109826.4770508 18109791.9244568
18173772.7966309 18173811.4624023 18173776.7877284
18237760.9863281 18237799.7741699 18237764.9774097
18301742.8894043 18301781.7993164 18301746.8804818
18365733.0627441 18365772.0947266 18365737.0538019
18429719.0856934 18429758.2397461 18429723.0767392
18493696.5942383 18493735.8703613 18493700.5852885
18557662.2009277 18557701.5991211 18557666.192005
18621656.3110352 18621695.8312988 18621660.3020851
18685666.0766602 18685705.7495117 18685670.0981705
18749661.1022949 18749700.8666992 18749665.0932587
18813660.15625 18813700.0732422 18813664.1776945
18877658.8134766 18877698.8525391 18877662.8348851
18941645.5383301 18941685.6689453 18941649.5292079
19005636.932373 19005677.2155762 19005640.9537462
19069617.3095703 19069657.7148438 19069621.3309424
19133587.1887207 19133627.7160645 19133591.2101117
19197583.6791992 19197624.3286133 19197587.7005584
19261566.2231445 19261606.9946289 19261570.2444985
19325545.8984375 19325586.7919922 19325549.9197917
19389520.4162598 19389561.4318848 19389524.437624
19453502.532959 19453543.7011719 19453506.5848363
19517489.3493652 19517530.6091309 19517493.3707117
19581471.7102051 19581513.1225586 19581475.7620641
19645448.9746094 19645490.5090332 19645453.0264733
19709422.3327637 19709463.9892578 19709426.3846398
19773397.3388672 19773439.1784668 19773401.4517875
19837364.3798828 19837406.3110352 19837368.46231
19901338.8977051 19901381.0119629 19901343.0411774
19965304.9621582 19965347.1984863 19965309.1056567
20029297.7905273 20029340.1794434 20029301.9645185
20093281.25 20093323.7609863 20093285.4239841
20157270.904541 20157313.5681152 20157275.1090239
20221243.6523437 20221286.4990234 20221247.9178751
20285209.0454102 20285252.0141602 20285213.310969
20349176.9104004 20349220.0317383 20349181.2064995
20413140.3808594 20413183.6547852 20413144.7075072
20477088.3178711 20477131.7443848 20477092.6750972
20541041.6259766 20541085.2050781 20541046.0137707
20604996.4599609 20605040.1916504 20605000.8783202
20668966.7358398 20669010.6201172 20668971.1847348
20732962.3413086 20733006.3781738 20732966.8206909
20796945.2514648 20796989.440918 20796949.7613588
20860911.4379883 20860955.7800293 20860915.9784257
20924922.454834 20924966.9799805 20924927.0562469
20988937.6220703 20988982.2998047 20988942.2539332
21052958.8317871 21053003.6315918 21052963.463571
21116968.9025879 21117013.885498 21116973.5953491
21180966.5527344 21181011.6882324 21180971.275979
21244971.8933105 21245017.1813965 21244976.647024
21308968.170166 21309013.6108398 21308972.9543655
21372915.6494141 21372961.2426758 21372920.4641928
21436866.6687012 21436912.4450684 21436871.5445698
21500828.8574219 21500874.7558594 21500833.7333241
21564784.9731445 21564831.0546875 21564789.910127
21628762.3901367 21628808.6242676 21628767.3576412
21692753.2043457 21692799.5910645 21692758.2023467
21756748.046875 21756794.5861816 21756753.0753648
21820745.1782227 21820791.8701172 21820750.2371969
21884731.9946289 21884778.8696289 21884737.1146248
21948711.4868164 21948758.5144043 21948716.6373304
22012689.3920898 22012736.5722656 22012694.573125
22076679.8400879 22076727.2033691 22076685.0821378
22140676.7578125 22140724.2431641 22140681.9998297
22204697.3876953 22204745.0561523 22204702.6906697
22268691.5588379 22268739.3493652 22268696.8617848
22332678.6499023 22332726.6235352 22332684.0138704
22396674.8046875 22396722.9309082 22396680.1991419
22460676.0559082 22460724.3347168 22460681.4808392
22524674.5300293 22524722.9614258 22524679.9854421
22588667.7246094 22588716.3085937 22588673.2105142
22652670.2270508 22652718.963623 22652675.7434298
22716661.529541 22716710.3881836 22716667.0458981
22780653.4118652 22780702.3925781 22780658.9281992
22844625.213623 22844674.3469238 22844630.7604898
22908591.9189453 22908641.1743164 22908597.4658371
22972561.4013672 22972610.8093262 22972566.9787961
23036515.7165527 23036565.246582 23036521.2940303
23100470.6115723 23100520.324707 23100476.2501324
23164439.5446777 23164489.3493652 23164445.1527411
23228406.6162109 23228456.5734863 23228412.2548161
23292370.4528809 23292420.5627441 23292376.122034
23356342.1630859 23356392.3950195 23356347.8322545
23420331.9702148 23420382.3242188 23420337.6393643
23484327.6062012 23484378.112793 23484333.3058379
23548313.079834 23548363.7084961 23548318.7794599
23612289.9169922 23612340.6982422 23612295.6471413
23676253.3874512 23676304.2907715 23676259.1176314
23740207.4584961 23740266.2963867 23740221.0012105
23804170.4711914 23804221.6491699 23804176.2319703
23868122.8027344 23868174.1333008 23868128.5940831
23932075.9277344 23932127.4108887 23932081.7496516
23996019.1650391 23996070.7702637 23996024.987026
24059985.0463867 24060036.8041992 24059990.8989177
24123935.9436035 24123987.8540039 24123941.8267072
24187900.8483887 24187952.9113769 24187906.7620383
24251851.7150879 24251903.9306641 24251857.6593102
24315813.5986328 24315865.9667969 24315819.5734068
24379782.8369141 24379835.357666 24379788.8422257
24443743.4082031 24443796.1120605 24443749.4745865
24507712.677002 24507765.5334473 24507718.773923
24571670.6237793 24571723.6328125 24571676.7512595
24635623.2299805 24635676.3916016 24635629.3880301
24699571.1669922 24699624.5117188 24699577.3861376
24763527.4658203 24763580.9631348 24763533.7155281
24827478.6071777 24827532.2875977 24827484.9179753
24891426.6357422 24891480.46875 24891432.9771178
24955378.2958984 24955432.3120117 24955384.6983628
25019345.0317383 25019399.230957 25019351.4952626
25083306.5795898 25083360.9619141 25083313.104184
25147271.0571289 25147325.592041 25147277.6122699
25211228.1494141 25211282.8674316 25211234.7656334
25275147.8881836 25275202.7587891 25275154.535035
25339044.0673828 25339099.1210937 25339050.7754288
25402946.3195801 25403001.5258789 25402953.0582915
25466851.2573242 25466906.6467285 25466858.0572135
25530749.5117187 25530805.0842285 25530756.3727987
